mean_birth_rate_diff,median_birth_rate_diff,birthRate_hdi95_lower,birthRate_hdi95_upper,run,n,simulation,minBirthRateESS,base,center,edge,true_birth_diff
0.0030871175256625,0.00305715447491253,0.00249119174323214,0.00374056873733215,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s43310_diversified_m1_n100,100,2D_sel_bdg,1027.1527692334962,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s43310,5.75952652675302e-4,0.0037410039106948,0.003165051258019498
0.00306004934301149,0.00303949286285629,0.0023474784720565,0.0037866865398813,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s53123_diversified_m1_n100,100,2D_sel_bdg,614.7694868446041,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s53123,5.790160130768289e-4,0.00374784436695388,0.0031688283538770508
0.00380023416617074,0.00378022070923343,0.00306329945944752,0.00452833556845415,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s62823_diversified_m1_n100,100,2D_sel_bdg,419.1324304615008,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s62823,5.621148890728471e-4,0.00381620911438321,0.003254094225310363
0.00355231586064877,0.00355269699847456,0.00263488468057982,0.00444312489262309,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s29035_diversified_m1_n100,100,2D_sel_bdg,274.39362039553714,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s29035,5.526803457393144e-4,0.00381623353919698,0.0032635531934576655
0.00298246741129916,0.00294649037767653,0.0022486427747917,0.00375978437594129,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s36728_diversified_m1_n100,100,2D_sel_bdg,706.4615320046873,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s36728,5.768961341997305e-4,0.00390771831601746,0.003330822181817729
0.00312704430612351,0.00306609204249707,0.00239461520005659,0.00398551512514415,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s3730_diversified_m1_n100,100,2D_sel_bdg,317.7978568789446,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s3730,5.55210136843051e-4,0.00379777296804693,0.003242562831203879
0.00430645731883033,0.00428738944341919,0.00325494086657752,0.00533873102367568,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i3_s54011_diversified_m1_n100,100,2D_sel_bdg,365.1618467724804,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i3_s54011,5.697702770990476e-4,0.00384489109258891,0.0032751208154898626
0.00349469938599213,0.00345438697949845,0.00277165573448364,0.00428476444906838,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i3_s80300_diversified_m1_n100,100,2D_sel_bdg,304.1828378760449,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i3_s80300,5.70339238995466e-4,0.00387201444847967,0.003301675209484204
0.00413190027914411,0.00408656436033884,0.00319042004044703,0.00514849263150065,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i4_s32876_diversified_m1_n100,100,2D_sel_bdg,273.07945517310736,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i4_s32876,5.672584680511808e-4,0.00389614193767911,0.003328883469627929
0.00469646121661918,0.00468173713308905,0.0036741021623216,0.00575753959007306,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i4_s65629_diversified_m1_n100,100,2D_sel_bdg,243.1513999839744,sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i4_s65629,5.644263148555397e-4,0.00375285474906362,0.00318842843420808
