dr,terminal_branch_length_ratio,sim,sim.1
0.1,0.5074223041768496,2D,2D
0.1,0.44669164815213575,2D,2D
0.1,0.4788975640015702,2D,2D
0.1,0.41978668470932523,2D,2D
0.1,0.42433885692719553,2D,2D
0.1,0.5594898265060693,2D,2D
0.1,0.42213099174302493,2D,2D
0.1,0.48871993627258126,2D,2D
0.1,0.4967051549549755,2D,2D
0.1,0.46557710598735624,2D,2D
0.1,0.4598034174688088,2D,2D
0.1,0.5446771579053119,2D,2D
0.1,0.5237518844583434,2D,2D
0.1,0.42444856806745423,2D,2D
0.1,0.5781383529826954,2D,2D
0.1,0.5944607869823214,2D,2D
0.1,0.36650385847873,2D,2D
0.1,0.4212175856119877,2D,2D
0.1,0.936031603598125,3D,NA
0.1,0.7474141472795472,3D,NA
0.1,0.73506591254355,3D,NA
0.1,0.8148203788252428,3D,NA
0.1,0.8743850504130429,3D,NA
0.1,0.8364269975213373,3D,NA
0.1,0.8430941363332066,3D,NA
0.1,0.8416872749523104,3D,NA
0.1,0.8205688310000571,3D,NA
0.1,0.7588224782338565,3D,NA
0.1,0.8096933886863331,3D,NA
0.1,0.875291744480947,3D,NA
0.1,0.8402209689808398,3D,NA
0.1,0.8161848837341669,3D,NA
0.1,1.053760436051943,3D,NA
0.1,1.1096934102247058,3D,NA
0.1,0.8289009878892483,3D,NA
0.1,0.7875359483178558,3D,NA
