"","...1","...2","mean_growth_rate_diff","median_growth_rate_diff","mean_growth_rate_ratio","median_growth_rate_ratio","mean_birth_rate_diff","median_birth_rate_diff","mean_birth_rate_ratio","median_birth_rate_ratio","growthRate_hdi95_lower","growthRate_hdi95_upper","growthRate_hdi85_lower","growthRate_hdi85_upper","growthRate_hdi75_lower","growthRate_hdi75_upper","birthRate_hdi95_lower","birthRate_hdi95_upper","birthRate_hdi85_lower","birthRate_hdi85_upper","birthRate_hdi75_lower","birthRate_hdi75_upper","dr","minBirthRateESS","n","clock_model","true_birth_rate_diff_weighted"
"1",1,1,-0.0523987303671803,-0.0452980770261066,-0.322508005146555,0.280488940840914,-0.00581881640221186,-0.0155824197277429,1.42355780255395,0.844095375512489,-0.278888912772803,0.157202316568882,-0.183871732809265,0.0988847339341994,-0.14742488896828,0.0633602605321173,-0.167347278137649,0.194649325074051,-0.133923456364296,0.113192720734772,-0.113545953160838,0.0767052829172502,0,708.997899100191,10,"strict",0.403799374460591
"2",2,2,0.0918713182286425,0.0870666217476984,0.37660736480553,1.94670733115895,0.105092403859626,0.102063093626194,3.22331797937885,2.06340296649334,-0.0455877969208764,0.25304989695993,-0.0008838643552049,0.20962832740196,0.0118871168137092,0.173639324631382,-0.00615993800989469,0.235733389851678,0.025128787830778,0.194134184635822,0.0380134932354181,0.170651986750064,0,678.42744268881,100,"strict",0.403799374460591
"3",3,3,-0.0582240826685137,-0.0541489865477116,0.747030009455258,0.266316684068204,-0.0176628624172818,-0.0299313399326884,1.2043770933691,0.743546220141793,-0.297792214783666,0.166881376282624,-0.205538514644708,0.100136879921623,-0.162927689276138,0.0687054206660138,-0.204652228022294,0.199583113881891,-0.157458823460836,0.12138594983863,-0.134622338760858,0.0811050370122706,0,892.736472552004,11,"strict",0.403799374460591
"4",4,4,-0.0588853107703584,-0.0554614884356993,1.48031381555763,0.233295533587234,-0.0142790370703698,-0.0252053496064579,1.27160603233772,0.775381167358203,-0.290225328404351,0.176042560345356,-0.200408815483664,0.102283506789404,-0.161615488905274,0.0655764302041629,-0.194170065873161,0.202311563340701,-0.146751406037635,0.117360879876562,-0.128188274691102,0.076453572077848,0,787.199940379595,12,"strict",0.403799374460591
"5",5,5,-0.0617949518908737,-0.0567006376231241,0.36566733426954,0.252781341243515,-0.0179586115367292,-0.0284588498760838,1.1385124351082,0.760820340720584,-0.298428765229663,0.151207959157996,-0.204853420683107,0.0965087127784292,-0.169095237079066,0.060388316414005,-0.199066770735212,0.190650842959396,-0.158024457491453,0.109897605179938,-0.131913163267687,0.0773128915666205,0,842.754791463643,13,"strict",0.403799374460591
"6",6,6,-0.0575370063287564,-0.0530611279562515,0.668536168801649,0.253284452334432,-0.0116870761352332,-0.0227530317784774,1.20604560382824,0.797293698440036,-0.293366245717198,0.160583394439193,-0.198677911189977,0.0996172307507172,-0.158704539751587,0.0669079180361904,-0.175912398852902,0.198884004608884,-0.146321788603943,0.111061312043078,-0.127288371908217,0.074016680277021,0,848.355488848305,14,"strict",0.403799374460591
"7",7,7,-0.0621173447321151,-0.0592256600617675,0.014603080412775,0.192643648991921,-0.0246840872680843,-0.0364427656292755,1.28495649390167,0.706638041427667,-0.306539323204144,0.18448315317344,-0.216000768516082,0.109062798285461,-0.17370252079993,0.0736372348635525,-0.233792082792843,0.20679069257532,-0.176496987962766,0.128868691510055,-0.150387234890543,0.0834858037152779,0,685.449210481369,15,"strict",0.403799374460591
"8",8,8,-0.0627571919445475,-0.0561631618910291,0.642360679910305,0.273635760300374,-0.0167286958232797,-0.0255249527744654,1.0166693538006,0.770643947317787,-0.267710472723419,0.124846538593553,-0.182391540348129,0.0778211702700411,-0.149877243339259,0.0466560814619271,-0.166676942887487,0.156175822097138,-0.135280879866949,0.0897876511433363,-0.11683475013976,0.059820965466381,0,1428.05128071151,16,"strict",0.403799374460591
"9",9,9,-0.063974645804703,-0.0578936630005185,0.816862202115186,0.21715399769513,-0.0175391647057574,-0.0270517701886861,1.10755309078254,0.761543809819823,-0.281291977225057,0.149944419649634,-0.202679925241253,0.0868149516137724,-0.161202004701252,0.058742899627655,-0.183479407435641,0.174906094118258,-0.144471176726483,0.105766398300109,-0.127528683266585,0.0690398091575072,0,930.393911110383,17,"strict",0.403799374460591
"10",10,10,-0.060745448183679,-0.0544640722507764,0.406466203661905,0.262373041251503,-0.0135448871405571,-0.0223325015960272,1.02091643490027,0.783521610421705,-0.256112619401628,0.113086022054451,-0.177792562302872,0.0653508202057668,-0.139973190039525,0.0452123279592279,-0.150972966393074,0.156099790902935,-0.123761540769894,0.0889756331600639,-0.109533702501775,0.0576404884377879,0,900.575892922635,18,"strict",0.403799374460591
"11",11,11,-0.0588284540180607,-0.0581759973307936,0.551652415025175,0.21441931245821,-0.0189380021371221,-0.0326407592832701,1.54076584059291,0.706566333508218,-0.268453799475882,0.144575649064419,-0.185996699486533,0.0862203938307826,-0.154445977984662,0.0519130299974957,-0.173173524436473,0.174521126254705,-0.141944706037362,0.100957358276634,-0.127300293175353,0.0613765616126911,0,839.793335015334,19,"strict",0.403799374460591
"12",12,12,-0.0643654626451858,-0.0595303707002731,0.652977068623581,0.213896191806952,-0.0198721473960143,-0.0297789094185697,1.29498813478927,0.732515914470643,-0.281213177409399,0.137606555754925,-0.200207060165299,0.0836099655912463,-0.155192945780918,0.0594220836622674,-0.187364237299842,0.164628359142212,-0.143695609721037,0.102876262924259,-0.122282271919243,0.0706228958138493,0,767.57685447749,20,"strict",0.403799374460591
"13",13,13,-0.0735320015696947,-0.0669593209985535,0.439660787224003,0.20293068464162,-0.0247111331053838,-0.0338088122335981,0.887183014042087,0.704633940518798,-0.266766729828859,0.105951610287923,-0.194850838936376,0.0585784443217757,-0.156158816071512,0.0386418951660878,-0.169435496895261,0.130039482082869,-0.133642854207129,0.07611733762419,-0.12480875438776,0.0435556616333024,0,1295.8206145578,30,"strict",0.403799374460591
"14",14,14,-0.0894096773689518,-0.0790855686960344,0.223112186858888,0.151103035762133,-0.0363329411434422,-0.0404867745508775,0.78933724610589,0.680447018156621,-0.299498716240872,0.093026775086109,-0.212012390460404,0.0559677797455501,-0.171585258443908,0.0362537892773876,-0.178693685904598,0.116388092323815,-0.144835327892885,0.0645490890249705,-0.131420502236305,0.0364600819613793,0,1192.58097937517,40,"strict",0.403799374460591
