dr,cells_free,model,sd_p_progeny,mean_p_progeny
0,0,boundary_driven,0.010618509386255658,0.13244211493090388
0,0,unrestricted,0.00652390125589253,0.45335894556934214
0,1,boundary_driven,0.018139031827660575,0.40800004925655486
0,1,unrestricted,0.028510612479877392,0.6084743356982413
0,2,boundary_driven,0.024928488679424855,0.5335620402689246
0,2,unrestricted,0.06346375174208799,0.5815113606045558
0,3,boundary_driven,0.020694610396443228,0.6218422815547959
0,3,unrestricted,0.045528719050241265,0.608438278193272
0,4,boundary_driven,0.019812607398445405,0.6695689342733466
0,4,unrestricted,0.0612852537354506,0.6390417400681342
0,5,boundary_driven,0.01149122208524777,0.730199835821004
0,5,unrestricted,0.042600302046363066,0.6201466927312322
0,6,boundary_driven,0.031214686977383364,0.7611461139948175
0,6,unrestricted,0.04617143039468117,0.6923936047885121
0,7,boundary_driven,0.04132081190120664,0.7819679942423239
0,7,unrestricted,0.07035797369872522,0.7126375839982741
0.1,0,boundary_driven,0.007615029676409005,0.2603122950014006
0.1,0,unrestricted,0.00718432627198348,0.4578861147757346
0.1,1,boundary_driven,0.02193498873412032,0.4504438638657351
0.1,1,unrestricted,0.042691072782408614,0.6028235575945476
0.1,2,boundary_driven,0.02117373927326957,0.5833073131598078
0.1,2,unrestricted,0.028800936404256704,0.5962064986945368
0.1,3,boundary_driven,0.02228477504975996,0.6502412716306568
0.1,3,unrestricted,0.04664429312080956,0.6073578009910806
0.1,4,boundary_driven,0.0258403329795473,0.697252956015768
0.1,4,unrestricted,0.03477217719503346,0.5936359241188396
0.1,5,boundary_driven,0.02843355044461055,0.7072681104457512
0.1,5,unrestricted,0.057098564343025654,0.6297465775484803
0.1,6,boundary_driven,0.028844754404637664,0.7529311855078714
0.1,6,unrestricted,0.08311637164385452,0.6532064010359002
0.1,7,boundary_driven,0.04080387000240478,0.7473456520291469
0.1,7,unrestricted,0.0741838882532986,0.6615769500107735
0.2,0,boundary_driven,0.006929868991182099,0.32932861935334967
0.2,0,unrestricted,0.009355073444273079,0.4606692677044237
0.2,1,boundary_driven,0.019343420140672016,0.4679991455155498
0.2,1,unrestricted,0.041098506576629446,0.5840076065271639
0.2,2,boundary_driven,0.010301689539968852,0.5798223740479423
0.2,2,unrestricted,0.05216567038206931,0.5599689730233608
0.2,3,boundary_driven,0.020886619983319275,0.6453277742529542
0.2,3,unrestricted,0.046634893479708964,0.6196140625625216
0.2,4,boundary_driven,0.019973445399353973,0.6820225335541192
0.2,4,unrestricted,0.028434768324728816,0.5857119376409633
0.2,5,boundary_driven,0.03432278869017768,0.6860603313830783
0.2,5,unrestricted,0.03716388902900127,0.617946751732451
0.2,6,boundary_driven,0.03675711691553659,0.6942664979239193
0.2,6,unrestricted,0.05161369842375592,0.6260720418049789
0.2,7,boundary_driven,0.053721204235790264,0.7151261226443423
0.2,7,unrestricted,0.07461864647343922,0.6324442549534568
0.3,0,boundary_driven,0.007837536868962864,0.3684793346472257
0.3,0,unrestricted,0.006015796724399931,0.46195197211292555
0.3,1,boundary_driven,0.007277812232158569,0.4725927401385662
0.3,1,unrestricted,0.04551568870818926,0.5711492607878613
0.3,2,boundary_driven,0.016850672636947558,0.564379350679729
0.3,2,unrestricted,0.038780219956881475,0.6153678516611927
0.3,3,boundary_driven,0.020577275952753347,0.6286305512171959
0.3,3,unrestricted,0.03876207735471479,0.5825378392442421
0.3,4,boundary_driven,0.022836751791024453,0.6532526055294365
0.3,4,unrestricted,0.026907757202345325,0.5667290135639708
0.3,5,boundary_driven,0.033486933532612596,0.6540341387942821
0.3,5,unrestricted,0.03007488531480062,0.568613486753352
0.3,6,boundary_driven,0.02452411918569673,0.6545096408322657
0.3,6,unrestricted,0.05574350605325322,0.641228317278466
0.3,7,boundary_driven,0.03888318611455719,0.6752849512902553
0.3,7,unrestricted,0.08106773007180422,0.5906415735028231
0.4,0,boundary_driven,0.007125425495165232,0.3932671952888999
0.4,0,unrestricted,0.006030367188013662,0.46698773879971983
0.4,1,boundary_driven,0.010421288242234808,0.48388766471385997
0.4,1,unrestricted,0.04134590669976509,0.5542191809774287
0.4,2,boundary_driven,0.010103970039860783,0.5487046330878598
0.4,2,unrestricted,0.032947019192286195,0.5858514247053548
0.4,3,boundary_driven,0.01916130535235969,0.5881855149473669
0.4,3,unrestricted,0.033474880679977274,0.584160851194403
0.4,4,boundary_driven,0.02073430770088885,0.6114386895316591
0.4,4,unrestricted,0.0445957524885661,0.5785703811128479
0.4,5,boundary_driven,0.016795166715406845,0.6299443741307068
0.4,5,unrestricted,0.04343953809348676,0.5881266908746842
0.4,6,boundary_driven,0.019178841285269935,0.6340767684303389
0.4,6,unrestricted,0.03468384362950277,0.5493482467773583
0.4,7,boundary_driven,0.023394997730020857,0.6510502853688849
0.4,7,unrestricted,0.08287969799844905,0.563167462665894
0.5,0,boundary_driven,0.005844427034787164,0.40721878760664176
0.5,0,unrestricted,0.006085685774841657,0.4729746133886485
0.5,1,boundary_driven,0.010166098402965546,0.48436614994673766
0.5,1,unrestricted,0.032904676960750355,0.5420884575681783
0.5,2,boundary_driven,0.010724543707914454,0.5364803730949695
0.5,2,unrestricted,0.02579231820126477,0.5441780787878123
0.5,3,boundary_driven,0.013903035521321036,0.5667379458914678
0.5,3,unrestricted,0.0241088615847613,0.5564452340931938
0.5,4,boundary_driven,0.013559303070492896,0.5853052128706071
0.5,4,unrestricted,0.02237384532955411,0.5450846364756794
0.5,5,boundary_driven,0.012031582462465228,0.5945265403757494
0.5,5,unrestricted,0.03127771106807645,0.554561509153085
0.5,6,boundary_driven,0.027209766574680095,0.6022223590475435
0.5,6,unrestricted,0.035123100391431815,0.5823869289115784
0.5,7,boundary_driven,0.01972126721182798,0.5970626202933002
0.5,7,unrestricted,0.05224464122389642,0.5713039112028824
0.6,0,boundary_driven,0.008978227439127533,0.4220562560995262
0.6,0,unrestricted,0.006165729960680031,0.47771139996657613
0.6,1,boundary_driven,0.00558658694713115,0.48079294785568844
0.6,1,unrestricted,0.024406750302393542,0.5199172763246694
0.6,2,boundary_driven,0.01130970783624667,0.5203402047417625
0.6,2,unrestricted,0.027032691967853937,0.5310673332748409
0.6,3,boundary_driven,0.00959291423817085,0.5412976048018457
0.6,3,unrestricted,0.01481170538946801,0.5479538181102477
0.6,4,boundary_driven,0.013839912015673321,0.561110761812188
0.6,4,unrestricted,0.031058358906529877,0.5338839087489783
0.6,5,boundary_driven,0.018446519178112603,0.5662621979706138
0.6,5,unrestricted,0.029175854206670113,0.5422925202327071
0.6,6,boundary_driven,0.02585543470273386,0.5827443859821173
0.6,6,unrestricted,0.04587276536912027,0.55576788393475
0.6,7,boundary_driven,0.021360676508779448,0.5642614102711934
0.6,7,unrestricted,0.059149558410954484,0.5497011380075948
