"","norm_dist_from_edge_bin","birth_rate_mean","birth_rate_se","binStart","binEnd","binMid"
"1","(-0.001,0.0769]",0.202316534408761,0.00394491146246044,0.001,0.0769,0.03895
"2","(0.0769,0.154]",0.0468760443318948,0.00118615106162855,0.0769,0.154,0.11545
"3","(0.154,0.231]",0.0452589187943053,0.00143530048720302,0.154,0.231,0.1925
"4","(0.231,0.308]",0.0450199264696987,0.00114736524744296,0.231,0.308,0.2695
"5","(0.308,0.385]",0.0449607776402359,0.00114963123098992,0.308,0.385,0.3465
"6","(0.385,0.462]",0.0446565484772029,0.0012763923615342,0.385,0.462,0.4235
"7","(0.462,0.538]",0.0450416058517271,0.00150706063666876,0.462,0.538,0.5
"8","(0.538,0.615]",0.0440218708318652,0.00111512984790376,0.538,0.615,0.5765
"9","(0.615,0.692]",0.0453305238739376,0.001012840503623,0.615,0.692,0.6535
"10","(0.692,0.769]",0.0459077026879121,0.00139854247087861,0.692,0.769,0.7305
"11","(0.769,0.846]",0.0468165731350214,0.00121722015464697,0.769,0.846,0.8075
"12","(0.846,0.923]",0.045009637822475,0.00200853513604218,0.846,0.923,0.8845
"13","(0.923,1]",0.0455438738191964,0.00254106248301234,0.923,1,0.9615
"14",NA,0.329008720522771,0.0245036289199074,NA,NA,NA
