"","norm_dist_from_edge_bin","birth_rate_mean","birth_rate_se","binStart","binEnd","binMid"
"1","(-0.001,0.0769]",0.378819998479329,0.0189001343672172,0.001,0.0769,0.03895
"2","(0.0769,0.154]",0.360357009446751,0.0227939840217735,0.0769,0.154,0.11545
"3","(0.154,0.231]",0.35769110987722,0.0235254380462443,0.154,0.231,0.1925
"4","(0.231,0.308]",0.356627561770339,0.0223927251797526,0.231,0.308,0.2695
"5","(0.308,0.385]",0.366553594521625,0.0242213280439441,0.308,0.385,0.3465
"6","(0.385,0.462]",0.361068469490817,0.0227664282433045,0.385,0.462,0.4235
"7","(0.462,0.538]",0.357312798535256,0.0192010393128077,0.462,0.538,0.5
"8","(0.538,0.615]",0.355656747694566,0.0223365333888228,0.538,0.615,0.5765
"9","(0.615,0.692]",0.363379614135302,0.0218211019216592,0.615,0.692,0.6535
"10","(0.692,0.769]",0.375893652982919,0.0202982837328319,0.692,0.769,0.7305
"11","(0.769,0.846]",0.360427273548878,0.0195104105416992,0.769,0.846,0.8075
"12","(0.846,0.923]",0.351988533150939,0.0205402598027589,0.846,0.923,0.8845
"13","(0.923,1]",0.364237831959703,0.0202015295358348,0.923,1,0.9615
"14",NA,0.310658191116251,0.0176942989941859,NA,NA,NA
