"","...1","mean_growth_rate_diff","median_growth_rate_diff","mean_growth_rate_ratio","median_growth_rate_ratio","mean_birth_rate_diff","median_birth_rate_diff","mean_birth_rate_ratio","median_birth_rate_ratio","growthRate_hdi95_lower","growthRate_hdi95_upper","growthRate_hdi85_lower","growthRate_hdi85_upper","growthRate_hdi75_lower","growthRate_hdi75_upper","birthRate_hdi95_lower","birthRate_hdi95_upper","birthRate_hdi85_lower","birthRate_hdi85_upper","birthRate_hdi75_lower","birthRate_hdi75_upper","dr","minBirthRateESS","n","clock_model","true_birth_rate_diff_weighted"
"1",1,0.0363508015888125,0.0299864370293588,2.65718649125507,1.4724422324356,0.191987827156796,0.175616915909973,5.40030050014635,3.65720332425589,-0.126608892932195,0.225705913662734,-0.0794791414474676,0.15467655819097,-0.0557252169193123,0.124017420002445,-0.00487246265560792,0.463700532311991,0.0353747927592782,0.348958276558698,0.0521403089329425,0.292297456394615,0,1011.07690087113,10,"state_dependent",0.403799374460591
"2",2,0.222964598878929,0.222918475944847,92.4908271011957,33.5086704153021,0.290025459068683,0.281812689956998,189.502869339824,54.8801847305997,0.153654438677151,0.288413956180823,0.17427754499402,0.269536495646589,0.185012534113316,0.2596591005721,0.211134518522302,0.385015135284612,0.226421751850221,0.348630045401454,0.230938770165041,0.326284262276752,0,666.768728717107,100,"state_dependent",0.403799374460591
"3",3,0.00272557815451076,-0.0134491536557979,2.39995507579435,0.775362787639774,0.282685064523373,0.260698511629792,7.74410329405129,4.4390601645719,-0.128840499175843,0.179939444115795,-0.103448233745624,0.107167859272342,-0.0909674590147288,0.0654084322111456,0.0570146631648563,0.561697326013407,0.0871792032216741,0.444072566263476,0.105963938707954,0.387752176041556,0,1127.77602068088,11,"state_dependent",0.403799374460591
"4",4,-0.0208158370077363,-0.033639056233437,0.862825540589689,0.509751177851594,0.385808244612105,0.367286779555205,6.12469412330146,5.58370558896817,-0.143581950090043,0.125351389879533,-0.111867803719106,0.0562836302021427,-0.098311900398811,0.0249919849383628,0.119454121724326,0.676720469039247,0.172126299594477,0.576294591434692,0.201711454083801,0.52215422112968,0,1179.91584695376,12,"state_dependent",0.403799374460591
"5",5,0.0438660672626004,0.0277847494534858,1.87823995329853,1.41005064805768,0.287005105690449,0.26479045764849,6.90644901561576,4.93773475931068,-0.109321809201171,0.241333084863803,-0.0802660136232704,0.167896910554598,-0.0692830401545187,0.126386425763245,0.0808864796194882,0.542330317137015,0.108669653037255,0.429999946315647,0.130701341676757,0.381239816814311,0,873.785600956537,13,"state_dependent",0.403799374460591
"6",6,-0.0441941806436752,-0.045300685020351,0.380914909336463,0.340446781357899,0.410550160236989,0.392248804758085,6.05949084726605,5.87985144771516,-0.121944363815327,0.0259444082392664,-0.0969943554607455,0.00278562239127197,-0.0842011055336452,-0.00655157925917661,0.162920282811005,0.698972502110902,0.200482595545953,0.588034723721758,0.232422271151165,0.541559077663857,0,775.950620551577,14,"state_dependent",0.403799374460591
"7",7,-0.0341408145180774,-0.0518233802432975,4.59693710958886,0.254085370315823,0.420771425063703,0.400510217825153,7.83702065610797,6.21388748520512,-0.15988582206885,0.160794890687939,-0.146359287248851,0.0495021281199708,-0.121737178713704,0.0013415614755028,0.138314408617349,0.749400858124449,0.169685942514495,0.61170047514166,0.202198193651378,0.551605515554148,0,326.110964079407,15,"state_dependent",0.403799374460591
"8",8,5.63541537584832e-05,-0.00959687243401182,1.10846272092045,0.854083092400808,0.299869147458058,0.281796237038188,4.97837271233294,4.63323963913763,-0.122129047400479,0.135902304718286,-0.0883865049613525,0.0792362836468339,-0.0730173911494617,0.049932417541178,0.0859615060329865,0.544750028695571,0.116255180019353,0.448868150468359,0.136171595492951,0.399002759793932,0,1040.13041865307,16,"state_dependent",0.403799374460591
"9",9,0.0307886094902029,0.00972126588464998,47.3496288658425,1.05083773830601,0.268443098497904,0.247206588165221,8.28191691258393,4.8881504143142,-0.10484784863201,0.201722815269256,-0.0757561508142654,0.147770636070989,-0.0663299631455775,0.112869450879489,0.0806264809416962,0.506185896537845,0.105293331146292,0.411216395549102,0.114114813698584,0.358720519117707,0,357.572671936728,17,"state_dependent",0.403799374460591
"10",10,-0.0106501857217919,-0.0185937201682386,2.4561176178501,0.715838366933176,0.239511117503968,0.222572965281653,4.48818938670378,3.94859762328124,-0.125632057188835,0.127384477449375,-0.0996606114859312,0.0674021839873591,-0.0837381927802935,0.038608867508454,0.0593534641714583,0.448190431043057,0.0854062518406733,0.363758802848732,0.104158387478582,0.324366042997397,0,694.385722062594,18,"state_dependent",0.403799374460591
