"","norm_dist_from_edge_bin","birth_rate_mean","birth_rate_se","binStart","binEnd","binMid"
"1","(-0.001,0.0769]",0.436184731133981,0.0143726892546897,0.001,0.0769,0.03895
"2","(0.0769,0.154]",0.420609178083553,0.0379508426357989,0.0769,0.154,0.11545
"3","(0.154,0.231]",0.433116686448287,0.0385902786904884,0.154,0.231,0.1925
"4","(0.231,0.308]",0.453083152940071,0.0356696718576538,0.231,0.308,0.2695
"5","(0.308,0.385]",0.458041818326887,0.0345283508392225,0.308,0.385,0.3465
"6","(0.385,0.462]",0.43624910616616,0.0412319699715159,0.385,0.462,0.4235
"7","(0.462,0.538]",0.454016458817423,0.0321773504711482,0.462,0.538,0.5
"8","(0.538,0.615]",0.432202765692821,0.0313456026381879,0.538,0.615,0.5765
"9","(0.615,0.692]",0.469544743757118,0.0219557594821894,0.615,0.692,0.6535
"10","(0.692,0.769]",0.409477612570664,0.0339234630555823,0.692,0.769,0.7305
"11","(0.769,0.846]",0.462364700145367,0.0393853598039403,0.769,0.846,0.8075
"12","(0.846,0.923]",0.419003065907888,0.04936015997994,0.846,0.923,0.8845
"13","(0.923,1]",0.414004783497711,0.0405353447915117,0.923,1,0.9615
"14",NA,0.244414169696677,0.0493693943659516,NA,NA,NA
