strain	edge	punch_label
t2z11	1	Z11
t2z13	1	Z13
t2z1	1	Z1
t2f9	0	F9
t2f5	0	F5
t2f2	0	F2
t2f13	0	F13
t2z9	0	Z9
t2z6	0	Z6
Normal	NA	NA
