strain	edge	punch_label
t1z5	1	Z5
t1l13	1	L13
t1z1	1	Z1
t1f24	1	F24
t1z3	1	Z3
t1f23	1	F23
t1f11	0	F11
t1l8	0	L8
t1f14	0	F14
t1f9	0	F9
t1l1	0	L1
t1l10	0	L10
t1l3	0	L3
t1f2	0	F2
t1l6	0	L6
t1f4	0	F4
Normal	NA	NA
