Punch,X,Y,Slice,dist_to_boundary,edge
T2F2,7.15442747,8.346832048,T2F,1.7609234793568505,FALSE
T2F5,12.98396096,16.03121711,T2F,2.007052031401822,FALSE
T2F9,15.23628072,7.15442747,T2F,1.400452259947039,TRUE
T2F13,11.2615988,11.92404578,T2F,6.3122343666748355,FALSE
T2F14,11.65906699,14.70632313,T2F,3.561757268050712,FALSE
T2F15,11.65906699,17.62108988,T2F,0.6748591440879573,TRUE
T2F16,8.744300241,16.82615349,T2F,0.824370112468975,TRUE
T2F17,16.4286853,12.18902458,T2F,1.9522049072022585,FALSE
T2F18,14.97130193,12.05653518,T2F,3.4066533348968053,FALSE
T2F19,11.92404578,13.11645036,T2F,5.100474396306311,FALSE
T2F21,16.16370651,10.33417301,T2F,2.2001428695641514,FALSE
T2F22,14.57383374,10.59915181,T2F,3.8117644434682885,FALSE
T2F23,12.18902458,10.99662,T2F,6.212690322929498,FALSE
T2F24,9.936704819,11.92404578,T2F,5.32169748727695,FALSE
T2F25,8.214342651,12.58649277,T2F,3.4763935179463936,FALSE
T2F26,6.62446988,11.65906699,T2F,2.131576625847294,FALSE
T2F27,16.03121711,8.479321446,T2F,1.6327827540978714,FALSE
T2F28,14.57383374,8.479321446,T2F,2.8063619336761545,FALSE
T2F29,8.214342651,9.671726024,T2F,3.352479459237894,FALSE
T2F30,6.094512289,9.804215422,T2F,1.4221316470794603,TRUE
T2F31,12.85147157,5.697044096,T2F,1.2166428779434624,TRUE
T2F33,9.936704819,6.227001687,T2F,1.6912900411815575,FALSE
T2M02,36.03711615,8.346832048,T2M,0.9204722625772572,TRUE
T2M03,36.16960554,11.1291094,T2M,1.4694001117088222,TRUE
T2M04,36.03711615,12.85147157,T2M,1.3637372808681563,TRUE
T2M06,34.71222217,7.286916868,T2M,1.4602420672691645,TRUE
T2M07,34.44724337,8.876789639,T2M,2.5822900500554375,FALSE
T2M11,35.10969036,15.76623831,T2M,0.710763393655941,TRUE
T2M12,33.1223494,5.432065301,T2M,0.9603791327540797,TRUE
T2M14,33.78479639,10.20168361,T2M,3.703315261601191,FALSE
T2M16,34.04977518,12.71898217,T2M,3.284761645459747,FALSE
T2M17,34.04977518,14.17636554,T2M,2.5509769988044138,FALSE
T2M18,33.65230699,16.95864289,T2M,0.7173613137332132,TRUE
T2M19,31.53247663,4.902107711,T2M,1.0004788141641547,TRUE
T2M20,31.53247663,7.021938072,T2M,3.0378341651338494,FALSE
T2M21,31.53247663,8.744300241,T2M,4.626741585223539,FALSE
T2M22,31.53247663,10.46666241,T2M,5.895123798779908,FALSE
T2M23,31.53247663,11.65906699,T2M,6.015376464670856,FALSE
T2M24,31.53247663,13.24893976,T2M,4.973334929079718,FALSE
T2M25,31.92994482,15.23628072,T2M,3.0232510654810922,FALSE
T2M26,28.48522048,5.034597109,T2M,1.0275491587737486,TRUE
T2M27,29.14766747,7.551895663,T2M,3.630550410520512,FALSE
T2M28,29.54513566,9.009279036,T2M,5.138475978456463,FALSE
T2M29,29.54513566,10.59915181,T2M,6.539801897220588,FALSE
T2M30,29.81011446,12.18902458,T2M,6.348574193552784,FALSE
T2M31,30.07509325,13.64640795,T2M,4.957449766134077,FALSE
T2M32,30.20758265,15.36877012,T2M,3.256408659779097,FALSE
T2M33,30.73754024,18.01855807,T2M,0.6103331108934121,TRUE
T2M35,27.2928159,5.962022892,T2M,1.4320840801023105,TRUE
T2M36,27.82277349,8.479321446,T2M,3.830927880968375,FALSE
T2M37,27.82277349,10.06919422,T2M,4.790905460628208,FALSE
T2M38,27.95526289,11.65906699,T2M,5.126064566087351,FALSE
T2M39,27.95526289,12.98396096,T2M,4.550005963361068,FALSE
T2M40,28.35273108,14.97130193,T2M,3.216964905610003,FALSE
T2M41,28.88268868,17.48860048,T2M,0.9955693814119536,TRUE
T2M42,25.30547494,6.62446988,T2M,0.7415877072476184,TRUE
T2M43,26.23290072,9.539236627,T2M,3.1198009029744247,FALSE
T2M45,26.49787952,11.65906699,T2M,3.677071277599841,FALSE
T2M46,26.36539012,13.38142916,T2M,3.0111342943978223,FALSE
T2M47,26.49787952,14.97130193,T2M,2.1481976792212003,FALSE
T2M48,26.89534771,16.4286853,T2M,1.2417841542916888,TRUE
T2M49,24.37804916,9.009279036,T2M,1.2114562499810047,TRUE
T2M50,24.51053855,10.99662,T2M,1.7104561579791593,FALSE
T2M51,24.64302795,12.85147157,T2M,1.6212541523239319,FALSE
T2M52,24.77551735,14.30885494,T2M,1.1747969096720983,TRUE
T2Q01,17.22362169,28.75019928,T2Q,1.0461256407852313,TRUE
T2Q02,17.35611108,30.60505084,T2Q,1.5212157831758364,FALSE
T2Q03,17.62108988,32.19492361,T2Q,1.3952997807246916,TRUE
T2Q04,16.95864289,34.44724337,T2Q,1.3595960531487383,TRUE
T2Q07,15.76623831,27.6902841,T2Q,1.6811263190766355,FALSE
T2Q08,16.03121711,29.94260386,T2Q,2.6104226608517265,FALSE
T2Q12,14.70632313,26.76285831,T2Q,1.629359596458842,FALSE
T2Q14,14.30885494,30.34007205,T2Q,4.351122600272783,FALSE
T2Q15,14.57383374,32.45990241,T2Q,4.2779080783278385,FALSE
T2Q18,13.91138675,25.43796434,T2Q,0.8157522570085007,TRUE
T2Q19,12.98396096,29.01517807,T2Q,4.431516865998832,FALSE
T2Q20,12.85147157,30.60505084,T2Q,5.740479636504376,FALSE
