T2F.Punch,T2F.X,T2F.Y,T2M.Punch,T2M.X,T2M.Y,T2Q.Punch,T2Q.X,T2Q.Y,T2R.Punch,T2R.X,T2R.Y,T2Z.Punch,T2Z.X,T2Z.Y,T2AB.Punch,T2AB.X,T2AB.Y,T2F_boundary.X,T2F_boundary.Y,T2M_boundary.X,T2M_boundary.Y,T2Q_boundary.X,T2Q_boundary.Y,T2R_boundary.X,T2R_boundary.Y,T2Z_boundary.X,T2Z_boundary.Y,T2AB_boundary.X,T2AB_boundary.Y
,,,T2M31,30.07509325,13.64640795,T2Q32,9.009279036,25.30547494,T2R41,26.23290072,29.54513566,,,,,,,7.177238145,16.79915045,25.15517447,16.64817295,10.51500229,39.06020235,29.5102947,24.39184067,12.45912796,57.31338227,31.87948011,45.37243443
,,,T2M32,30.20758265,15.36877012,T2Q33,8.876789639,28.48522048,T2R42,26.23290072,31.26749783,,,,,,,7.246920068,5.737145054,25.57326601,16.99077574,11.11426684,24.19546434,29.57997662,39.17074322,12.71695108,45.00502065,32.41603092,56.80470423
,,,T2M33,30.73754024,18.01855807,T2Q34,9.009279036,29.81011446,T2R43,26.23290072,32.98986,,,,,,,7.595329687,17.10110545,25.69172528,5.295826204,11.25363068,39.12640018,30.27679586,24.35383234,13.22562912,57.13917746,32.64598127,45.61948852
,,,T2M35,27.2928159,5.962022892,T2Q35,9.141768434,31.26749783,T2R44,26.23290072,34.18226458,,,,,,,7.665011611,5.435190051,25.99135755,17.31015122,11.91173774,24.19898363,30.34647779,39.1960821,13.48345224,45.21406642,33.20343666,56.4518603
,,,T2M36,27.82277349,8.479321446,T2Q36,9.274257831,33.2548388,T2R46,24.77551735,27.95526289,,,,,,,8.013421229,17.35660584,26.1307214,4.988064374,12.02013184,39.11056338,31.04329702,24.37917123,13.97122571,56.86995185,33.41248243,46.00590647
,,,T2M37,27.82277349,10.06919422,T2Q37,9.406747229,34.71222217,T2R48,31.53247663,38.02445711,,,,,,,8.083103153,5.191303318,26.4094491,17.57145843,12.61939639,24.27021404,31.11297895,39.17074322,14.2499534,45.52763508,33.96993782,55.95458476
,,,T2M38,27.95526289,11.65906699,T2Q38,8.876789639,38.02445711,,,,,,,,,,8.431512772,17.58887892,26.54881294,4.738370814,12.78663301,39.00287313,31.80979818,24.49319619,14.66804495,56.51591137,34.17898359,46.55385977
,,,T2M39,27.95526289,12.98396096,T2Q39,7.15442747,26.49787952,,,,,,,,,,8.501194696,4.982257547,26.82754064,17.80373151,13.41377032,24.43935107,31.86554372,39.05671825,15.01645456,45.98373494,34.70159802,55.31002696
,,,T2M40,28.35273108,14.97130193,T2Q40,7.551895663,29.01517807,,,,,,,,,,8.849604314,17.7572769,26.96690448,4.523518216,13.55313417,38.82866832,32.57629935,24.69590724,15.29518226,55.86114763,34.87580283,47.23273064
,,,T2M41,28.88268868,17.48860048,T2Q41,7.551895663,30.47256145,,,,,,,,,,8.919286238,4.790632257,27.24563218,18.00697046,14.04090763,24.63256004,32.71566319,38.8223336,15.78295573,46.60137018,35.29389437,54.58583268
,,,T2M42,25.30547494,6.62446988,T2Q42,7.551895663,31.53247663,,,,,,,,,,9.267695857,17.93148171,27.38499603,4.331892925,14.31963533,38.56261007,33.34280051,24.98096966,16.02684246,55.41454985,35.43325822,47.98595905
,,,T2M43,26.23290072,9.539236627,T2Q43,7.419406265,32.98986,,,,,,,,,,9.33737778,4.645461582,27.66372372,18.16375479,15.08613649,25.11399879,33.48216435,38.51826702,16.444934,47.34451206,35.71198591,53.86412705
,,,T2M45,26.49787952,11.65906699,T2Q44,7.551895663,34.57973277,,,,,,,,,,9.685787399,18.04761825,27.80308757,4.175108597,15.08613649,38.19202893,34.10930167,25.37688968,16.65397977,54.63498333,35.85134976,48.77037842
,,,T2M46,26.36539012,13.38142916,T2Q46,5.697044096,28.35273108,,,,,,,,,,9.755469323,4.523518216,28.08181526,18.30311863,15.85263765,25.60493961,34.24866552,38.10334284,16.93270747,48.09794786,36.02555457,53.13246685
,,,T2M47,26.49787952,14.97130193,T2Q47,5.962022892,30.47256145,,,,,,,,,,10.10387894,18.14052748,28.22117911,4.041551577,15.85263765,37.70742282,34.87580283,25.89000203,17.10691228,53.85715885,36.13007746,49.54384777
,,,T2M48,26.89534771,16.4286853,T2Q48,5.564554699,33.1223494,,,,,,,,,,10.17356087,4.436415811,28.49990681,18.40764152,16.61913881,26.24157901,35.01516668,37.55222217,17.28111709,48.81218758,36.2694413,52.22660184
,,,T2M49,24.37804916,9.009279036,,,,,,,,,,,,,10.52197048,18.21601623,28.63927065,3.942835518,16.61913881,37.06128135,35.53280382,36.99612422,17.42048093,53.07149516,36.30428227,50.44971278
,,,T2M50,24.51053855,10.99662,,,,,,,,,,,,,10.59165241,4.355120233,28.91799835,18.49474392,17.28111709,26.95383912,35.64230399,26.5836539,17.52500382,49.56707508,36.33912323,51.5297826
,,,T2M51,24.64302795,12.85147157,,,,,,,,,,,,,10.94006203,18.24505036,29.0573622,3.867346767,17.31595805,36.31589592,36.13007746,36.43977489,17.6295267,52.19176088,,
,,,T2M52,24.77551735,14.30885494,,,,,,,,,,,,,11.01671214,4.313311079,29.33608989,18.56442585,17.80373151,27.6935874,36.30428227,27.34579995,17.69920863,50.57165615,,
,,,,,,,,,,,,,,,,,,11.35815357,18.29150498,29.47545374,3.797664843,17.87341344,35.51787198,36.68753285,35.65723583,17.73404959,51.5297826,,
,,,,,,,,,,,,,,,,,,11.42783549,4.28543831,29.75418143,18.59345998,18.22182306,28.43719308,36.79205573,28.09342892,,,,
