T1F.Punch,T1F.X,T1F.Y,T1H.Punch,T1H.X,T1H.Y,T1K.Punch,T1K.X,T1K.Y,T1L.Punch,T1L.X,T1L.Y,T1O.Punch,T1O.X,T1O.Y,T1Q.Punch,T1Q.X,T1Q.Y,T1S.Punch,T1S.X,T1S.Y,T1V.Punch,T1V.X,T1V.Y,T1Y.Punch,T1Y.X,T1Y.Y,T1Z.Punch,T1Z.X,T1Z.Y,T1AB.Punch,T1AB.X,T1AB.Y,T1F_boundary.X,T1F_boundary.Y,T1H_boundary.X,T1H_boundary.Y,T1K_boundary.X,T1K_boundary.Y,T1L_boundary.X,T1L_boundary.Y,T1O_boundary.X,T1O_boundary.Y,T1Q_boundary.X,T1Q_boundary.Y,T1S_boundary.X,T1S_boundary.Y,T1V_boundary.X,T1V_boundary.Y,T1Y_boundary.X,T1Y_boundary.Y,T1Z_boundary.X,T1Z_boundary.Y,T1AB_boundary.X,T1AB_boundary.Y
T1F2,10.56233269,22.53297641,T1H01,30.56034925,19.99801656,T1K01,54.07914338,20.84300318,T1L1,14.78726577,44.5026284,T1O01,28.02538941,44.3617973,T1Q01,39.15104651,31.40533587,T1S01,57.03659653,31.12367366,T1V03,9.576514973,65.90895599,T1Y08,30.27868705,61.82485402,T1Z1,41.40434415,63.09233394,T1AB02,54.36080558,54.50163669,21.26549648,22.67380751,42.95348628,16.6180701,57.88158315,20.98383428,5.155727876,37.13886182,20.88975543,37.73928937,36.7497958,34.47030771,50.96048877,37.25756123,5.726518861,58.19931466,20.07061465,57.82116132,35.0670594,57.73397469,50.64911343,58.32153675
T1F4,14.64643466,21.54715869,T1H02,32.53198469,19.57552325,T1K02,52.38917015,24.50461184,T1L3,11.68898151,44.2209662,T1O02,25.77209177,43.79847289,T1Q02,41.68600635,30.56034925,T1S02,59.14906307,31.54616697,T1V05,10.8439949,64.07815166,T1Y13,22.81463861,59.28989417,T1Z3,40.27769533,59.00823197,T1AB03,51.96667684,56.33244102,21.969652,21.82882089,42.67182407,17.88555002,57.31825874,21.969652,5.226143427,38.83469344,20.96017098,39.02928389,36.67938025,35.86793579,50.98269705,38.80689481,5.726518861,59.50022186,20.07061465,58.4327313,34.99664385,59.10736512,50.64911343,59.26669035
T1F9,14.22394136,9.576514973,T1H06,30.98284256,21.68798979,T1K03,50.13587251,23.51879413,T1L6,9.999008281,38.5877221,T1O05,28.16622051,42.24933076,T1Q03,44.2209662,31.12367366,T1S03,59.43072527,33.51780241,T1V06,8.027372845,62.81067174,T1Y14,25.34959846,58.86740086,T1Z5,40.84101974,53.51581897,T1AB05,57.88158315,55.0649611,22.67380751,20.98383428,42.53099297,18.73053664,56.89576543,22.67380751,5.433714228,35.07441111,20.98613169,36.54211013,36.91658761,32.91358414,51.09389159,35.97143401,5.726518861,60.53428515,20.23740646,56.62582,35.27463021,56.44600955,50.81590524,57.40418179
T1F11,19.29386105,10.984826,T1H07,33.94029571,21.969652,T1K04,49.15005479,21.68798979,T1L8,11.68898151,32.25032248,T1O06,26.47624728,42.10849966,T1Q05,38.16522879,33.65863351,T1S04,60.5573741,34.36278902,T1V08,11.68898151,61.12069851,T1Y15,28.58871382,59.00823197,,,,T1AB07,60.8390363,58.72656976,23.23713192,19.99801656,42.10849966,19.57552325,56.33244102,23.23713192,5.504129779,40.32655354,21.12696279,40.11343067,36.64974369,37.39123208,51.09389159,39.75204841,5.837713402,57.14848029,20.16699091,59.43164424,35.28944849,60.19518774,50.81590524,60.23964259
T1F14,18.16721223,9.435683871,T1H10,36.61608666,21.40632759,T1K07,50.41753471,20.98383428,T1L10,16.05474569,33.3769713,T1O07,24.64544295,41.68600635,T1Q06,40.70018864,32.954478,T1S07,56.89576543,35.34860674,T1V09,9.294852768,61.12069851,T1Y18,22.95546972,56.47327212,,,,T1AB08,56.47327212,57.88158315,23.65962523,19.29386105,41.68600635,20.42050987,55.62828551,23.80045633,5.948907943,33.25828721,21.20852077,35.08922939,36.83135378,38.97380149,51.2606834,35.13747496,5.837713402,61.4349839,20.51539281,55.78259473,35.69344766,61.18479619,51.09389159,56.57948895
T1F23,13.37895474,6.900724025,T1H11,29.71536264,17.88555002,T1K09,54.21997448,18.87136774,T1L13,8.449866153,31.82782918,T1O09,27.18040279,39.99603312,T1Q07,42.53099297,32.954478,T1S08,58.72656976,36.75691776,T1V11,13.37895474,58.58573866,T1Y19,26.47624728,56.33244102,,,,T1AB09,58.58573866,58.86740086,23.94128743,18.44887443,41.40434415,21.26549648,55.0649611,24.50461184,5.948907943,41.66459451,21.34935187,41.00298699,37.19457396,31.98696296,51.2606834,40.58600746,5.948907943,56.09764593,20.45979554,60.32303849,35.74904493,55.2822193,51.09389159,60.99020574
T1F24,7.74571064,10.56233269,T1H12,36.19359335,18.02638113,T1K10,52.67083235,17.32222561,,,,T1O13,31.68699807,38.7285532,T1Q08,44.3617973,33.0953091,T1S09,61.40236071,37.88356659,T1V12,10.70316379,59.14906307,T1Y21,30.84201146,56.47327212,,,,T1AB11,54.21997448,59.14906307,24.22294964,17.46305672,40.84101974,21.82882089,54.07914338,24.78627405,6.616075189,31.9525456,21.57174095,33.88653637,37.06856114,40.35626668,51.48307248,34.35911317,6.004505214,62.2967416,20.7377819,60.99020574,36.13822582,54.6521169,51.48307248,55.87525685
T1F25,5.633244102,12.11147482,T1H13,31.82782918,6.759892922,T1K13,54.78329889,16.19557679,,,,T1O14,33.94029571,38.30605989,T1Q10,46.75592605,33.0953091,T1S14,53.93831228,36.89774887,T1V16,14.78726577,56.19160992,T1Y22,25.77209177,53.37498787,,,,T1AB12,56.05077881,60.27571189,24.50461184,16.6180701,40.41852643,22.53297641,52.67083235,25.20876736,6.579010342,42.93962525,21.62733822,41.82767984,37.36136578,41.78134878,51.48307248,41.41996652,6.060102484,55.20808961,20.84897644,55.07836264,36.13822582,61.9075607,51.48307248,61.74076889
T1F27,7.323217332,15.91391459,T1H14,29.85619374,8.449866153,T1K16,54.92412999,13.37895474,,,,T1O15,29.43370043,38.02439769,T1Q11,39.99603312,36.05276225,T1S15,59.28989417,40.98185084,T1V17,10.984826,55.2057922,T1Y24,21.54715869,61.54319181,,,,T1AB13,58.16324535,61.12069851,24.64544295,15.63225238,39.43270871,23.37796302,51.40335243,24.92710515,7.697694816,30.85143083,21.84972731,33.19157049,37.63935213,31.23454657,51.76105884,33.58075138,6.226894296,54.26293601,21.2937546,54.36301109,36.69419853,62.60252658,52.04698766,55.27162934
T1F28,7.323217332,19.15302995,T1H15,28.02538941,11.1256571,T1K17,51.96667684,13.94227915,,,,T1O17,32.25032248,37.03857997,T1Q13,42.95348628,35.34860674,T1S16,51.68501463,37.03857997,T1V19,9.154021666,57.17742763,,,,,,,T1AB14,52.24833905,59.85321858,24.50461184,14.64643466,38.8693843,23.80045633,50.13587251,24.50461184,7.283242435,43.95520206,21.96092185,42.62457405,37.58375486,42.53191193,51.76105884,42.16126346,6.226894296,63.10290202,21.23815733,61.74076889,36.80539307,53.81815784,51.98344792,62.41349586
