Punch,X,Y,dist_to_boundary,edge
A5,2.191788407,1.689251286,1.4532833565291519,0
A25,1.652923301,1.45917405,0.8699353517090217,0
A58,1.961711171,0.33906119,0.18857144161955341,1
A61,0.835543647,1.453119386,0.0978160927038167,1
A66,1.32597144,0.57519309,0.21329267762744966,1
B4,2.972840077,0.411717159,0.18484087198975624,1
B5,3.541978503,1.035347562,0.26599208177477296,1
B6,3.650962457,1.174604837,0.19242023522841312,1
B9,3.009168061,1.428900729,0.8809484261909224,0
B33,2.645888215,1.162495509,0.972994130448218,0
B45,3.72967309,1.82850856,0.20903941602907497,1
C2,2.615614894,4.062679616,0.030273320800000565,1
C3,2.791200154,2.688270864,1.305857849253809,0
C31,3.269518618,3.015222725,0.7365816796698678,0
C74,3.868930365,3.215026641,0.15788632320704948,1
D16,1.816399232,2.6822162,1.097381771233581,0
D25,2.222061727,3.281627946,0.6670030797263611,0
D29,1.531830019,2.863856123,0.7608908692703663,0
D54,0.768942342,2.573232246,0.14644278834290117,1
D58,1.780071248,3.802329059,0.09418847021696095,1
D62,0.932418273,3.208971977,0.078710634,1
D63,0.847652975,3.057605374,0.07290781061058207,1
