edgeAssociated	mean_growth_rate	simulation
FALSE	0.0010620797890375812	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i1_s3755_diversified_m1_n100
TRUE	0.003643664439974351	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i1_s3755_diversified_m1_n100
FALSE	0.0010797894706976788	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i1_s37939_diversified_m1_n100
TRUE	0.0036644641740682074	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i1_s37939_diversified_m1_n100
FALSE	0.0010892282190569317	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i1_s5353_diversified_m1_n100
TRUE	0.0036516214949268684	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i1_s5353_diversified_m1_n100
FALSE	0.001075675198549862	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i2_s48200_diversified_m1_n100
TRUE	0.003660955251777196	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i2_s48200_diversified_m1_n100
FALSE	0.001073292057381151	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i3_s23648_diversified_m1_n100
TRUE	0.0036738703098432965	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i3_s23648_diversified_m1_n100
FALSE	0.0010735990006979891	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i4_s28361_diversified_m1_n100
TRUE	0.003684306300582184	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i4_s28361_diversified_m1_n100
FALSE	0.0010730512639965174	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i5_s7216_diversified_m1_n100
TRUE	0.0037073277599916033	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i5_s7216_diversified_m1_n100
FALSE	0.0011000187195311763	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i6_s3456_diversified_m1_n100
TRUE	0.0036671679790277077	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i6_s3456_diversified_m1_n100
FALSE	0.0010795264943235623	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i7_s1677_diversified_m1_n100
TRUE	0.0036896120290209064	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i7_s1677_diversified_m1_n100
FALSE	0.001086552078796399	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i8_s15296_diversified_m1_n100
TRUE	0.0036734531686948434	sampconfig_m0.5_w1_d0.2_t1_mg1_mm1_l2e+08_i8_s15296_diversified_m1_n100
FALSE	5.506087234691099e-4	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s20363_diversified_m1_n100
TRUE	0.0038485851475559803	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s20363_diversified_m1_n100
FALSE	5.75952652675302e-4	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s43310_diversified_m1_n100
TRUE	0.0037410039106948053	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s43310_diversified_m1_n100
FALSE	5.790160130768289e-4	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s53123_diversified_m1_n100
TRUE	0.0037478443669538876	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s53123_diversified_m1_n100
FALSE	5.621148890728471e-4	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s62823_diversified_m1_n100
TRUE	0.0038162091143832157	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i1_s62823_diversified_m1_n100
FALSE	5.526803457393144e-4	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s29035_diversified_m1_n100
TRUE	0.0038162335391969805	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s29035_diversified_m1_n100
FALSE	5.768961341997305e-4	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s36728_diversified_m1_n100
TRUE	0.003907718316017466	sampconfig_m0_w1.1_d0.1_t1_mg0.99_mm1_l2e+08_i2_s36728_diversified_m1_n100
