edgeAssociated	mean_growth_rate	simulation
FALSE	1.0900033595358085e-4	sampconfig_m0_w1_d0_t1_mg1_mm0.99_l2e+08_i1_s13606_diversified_m1_n100
TRUE	0.003560889319635712	sampconfig_m0_w1_d0_t1_mg1_mm0.99_l2e+08_i1_s13606_diversified_m1_n100
